ГЕККОН,ящерица,,,
ГЕККОН,чешуйчатый,,,
ГЕККОН,пресмыкающиеся,,,
ГЕККОН,животное,,,
ГЕККОН,рептилия,,,
ГЕЛЬ,желеобразное вещество,,,
ГЕЛЬ,косметика,,,
ГЕОРГИН,растение,,,
ГЕОРГИН,цветы,,,
ГЕОРГИН,сложноцветный цветок,,,
ГЕОРГИН,трава,,,
ГЕОРГИН,зелень,,,
ГЕОФАК,факультет,,,
ГЕОФАК,направление подготовки,,,
ГЕОФАК,специальность,,,
ГЕОФАК,структурное подразделение,,,
ГЕОФАК,департамент,,,
ГЕРИАТРИЯ,геронтология,,,
ГЕРИАТРИЯ,наука,,,
ГЕРИАТРИЯ,изучение болезней,,,
ГЕРИАТРИЯ,знание,,,
ГЕРИАТРИЯ,лечение,,,
ГЕРМАНИЗАЦИЯ,распространение языка,,,
ГЕРМАНИЗАЦИЯ,распространения культуры,,,
ГЕРМЕТИК,паста,,,
ГЕРМЕТИК,материал,,,
ГЕРМЕТИК,смазка,,,
ГЕРМЕТИК,замазка,,,
ГЕРОНТОЛОГ,врач,,,
ГЕРОНТОЛОГ,специалист,,,
ГЕРОНТОЛОГ,доктор,,,
ГЕРОНТОЛОГ,человек,,,
ГЕРОНТОЛОГ,профессия,,,
ГЕСТАПОВЕЦ,сотрудник гестапо,,,
ГЕСТАПОВЕЦ,человек,,,
ГЕСТАПОВЕЦ,тайная военная полиция,,,
ГЕСТАПОВЕЦ,эсэсовец,,,
ГЕСТАПОВЕЦ,профессия,,,
ГИГИЕНИСТ,человек,,,
ГИГИЕНИСТ,врач,,,
ГИГИЕНИСТ,специалист,,,
ГИГИЕНИСТ,доктор,,,
ГИГИЕНИСТ,профессия,,,
ГИДРАТАЦИЯ,сольватация,,,
ГИДРАТАЦИЯ,соединение,,,
ГИДРИД,соединение водорода с металлами,,,
ГИДРИД,химический элемент,,,
ГИДРОЛИЗ,разложение,,,
ГИДРОЛИЗ,сольволиз,,,
ГИДРОПОНИКА,рост,,,
ГИДРОПОНИКА,выращивание растений,,,
ГИДРОЦИКЛ,транспорт,,,
ГИДРОЦИКЛ,мотоцикл,,,
ГИДРОЦИКЛ,аквабайк,,,
ГИДРОЦИКЛ,авто,,,
ГИДРОЦИКЛ,водные лыжи,,,
ГИПЕРБОЛА,график,,,
ГИПЕРБОЛА,кривая,,,
ГИПЕРБОЛА,геометрия,,,
ГИПЕРКАР,авто,,,
ГИПЕРКАР,машина,,,
ГИПЕРКАР,транспорт,,,
ГИПЕРКАР,суперкар,,,
ГИПЕРКАР,средство передвижения,,,
ГИПЕРРЕАЛИЗМ,направление в исскустве,,,
ГИПЕРРЕАЛИЗМ,современное исскуство,,,
ГИПЕРРЕАЛИЗМ,исскуство,,,
ГИПЕРРЕАЛИЗМ,натурализм,,,
ГИПЕРРЕАЛИЗМ,живопись,,,
ГИПЕРТЕРМИЯ,перегревание,,,
ГИПЕРТЕРМИЯ,повышение температуры тела,,,
ГИПЕРТЕРМИЯ,накопление тепла,,,
ГИПЕРТЕРМИЯ,лечение,,,
ГИПЕРТЕРМИЯ,терапия,,,
ГИПЕРТРОФИЯ,увеличение органа,,,
ГИПЕРТРОФИЯ,рост органа,,,
ГИПЕРТРОФИЯ,болезнь,,,
ГИПОТОНИК,больной,,,
ГИПОТОНИК,человек,,,
ГИПОТОНИК,пациент,,,
ГИПЮР,ткань,,,
ГИПЮР,материал,,,
ГИПЮР,кружева,,,
ГИРЯ,спорт товар,,,
ГИРЯ,предмет,,,
ГИРЯ,металлический груз,,,
ГИЧКА,шлюпка,,,
ГИЧКА,судно,,,
ГИЧКА,лодка,,,
ГИЧКА,транспорт,,,
ГИЧКА,средство передвижения,,,
