ГЕККОН,ящерица,Геккон токи (лат. Gekko gecko) — ящерица из семейства гекконов. Содержание. 1 Описание; 2 Ареал и места обитания; 3 Питание; 4 Размножение ...,https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%BA%D0%BA%D0%BE%D0%BD_%D1%82%D0%BE%D0%BA%D0%B8,
ГЕККОН,чешуйчатый,,,
ГЕККОН,пресмыкающиеся,,,
ГЕККОН,животное,,,
ГЕККОН,рептилия,,,
ГЕЛЬ,желеобразное вещество,,,
ГЕЛЬ,косметика,,,
ГЕОРГИН,растение,,,
ГЕОРГИН,цветы,,,
ГЕОРГИН,сложноцветный цветок,,,
ГЕОРГИН,трава,,,
ГЕОРГИН,зелень,,,
ГЕОФАК,факультет,,,
ГЕОФАК,направление подготовки,,,
ГЕОФАК,специальность,,,
ГЕОФАК,структурное подразделение,,,
ГЕОФАК,департамент,,,
ГЕРИАТРИЯ,геронтология,,,
ГЕРИАТРИЯ,наука,"Геронтоло́гия (от др.-греч. γέρων «старик» + λόγος «знание, слово, учение») — наука, ... Составными частями геронтологии являются гериатрия — учение о болезнях, связанных с инволюционными изменениями, а также ...",https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D1%80%D0%BE%D0%BD%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F,
ГЕРИАТРИЯ,изучение болезней,,,
ГЕРИАТРИЯ,знание,,,
ГЕРИАТРИЯ,лечение,,,
ГЕРМАНИЗАЦИЯ,распространение языка,,,
ГЕРМАНИЗАЦИЯ,распространения культуры,,,
ГЕРМЕТИК,паста,,,
ГЕРМЕТИК,материал,,,
ГЕРМЕТИК,смазка,,,
ГЕРМЕТИК,замазка,,,
ГЕРОНТОЛОГ,врач,,,
ГЕРОНТОЛОГ,специалист,,,
ГЕРОНТОЛОГ,доктор,,,
ГЕРОНТОЛОГ,человек,,,
ГЕРОНТОЛОГ,профессия,,,
ГЕСТАПОВЕЦ,сотрудник гестапо,,,
ГЕСТАПОВЕЦ,человек,,,
ГЕСТАПОВЕЦ,тайная военная полиция,,,
ГЕСТАПОВЕЦ,эсэсовец,,,
ГЕСТАПОВЕЦ,профессия,,,
ГИГИЕНИСТ,человек,,,
ГИГИЕНИСТ,врач,,,
ГИГИЕНИСТ,специалист,,,
ГИГИЕНИСТ,доктор,,,
ГИГИЕНИСТ,профессия,,,
ГИДРАТАЦИЯ,сольватация,"Сольвата́ция (от лат. solvo «растворяю») — электростатическое взаимодействие между частицами (ионами, молекулами) растворённого вещества и ...",https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%BB%D1%8C%D0%B2%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D1%8F,
ГИДРАТАЦИЯ,соединение,,,
ГИДРИД,соединение водорода с металлами,,,
ГИДРИД,химический элемент,,,
ГИДРОЛИЗ,разложение,"Гидролиз фосфата натрия (Na3PO4) представляет собой взаимодействие Na3PO4 с водой (H2O). Другими словами, гидролиз — это разложение ...",https://yandex.ru/znatoki/question/hw.nature/kak_prokhodit_gidroliz_fosfata_natriia_93cc9213/,
ГИДРОЛИЗ,сольволиз,,,
ГИДРОПОНИКА,рост,,,
ГИДРОПОНИКА,выращивание растений,,,
ГИДРОЦИКЛ,транспорт,,,
ГИДРОЦИКЛ,мотоцикл,,,
ГИДРОЦИКЛ,аквабайк,,,
ГИДРОЦИКЛ,авто,,,
ГИДРОЦИКЛ,водные лыжи,,,
ГИПЕРБОЛА,график,,,
ГИПЕРБОЛА,кривая,,,
ГИПЕРБОЛА,геометрия,,,
ГИПЕРКАР,авто,,,
ГИПЕРКАР,машина,,,
ГИПЕРКАР,транспорт,,,
ГИПЕРКАР,суперкар,,,
ГИПЕРКАР,средство передвижения,,,
